timestamp,day_of_week,hour,minute,restaurant,delivery_fee
2026-04-03 09:00:00,Friday,9,0,Starship Aggregate,3.13
2026-04-03 10:00:00,Friday,10,0,Starship Aggregate,2.92
2026-04-03 11:00:00,Friday,11,0,Starship Aggregate,3.60
2026-04-03 12:00:00,Friday,12,0,Starship Aggregate,3.90
2026-04-03 13:00:00,Friday,13,0,Starship Aggregate,3.60
2026-04-03 14:00:00,Friday,14,0,Starship Aggregate,2.87
2026-04-03 15:00:00,Friday,15,0,Starship Aggregate,2.77
2026-04-03 16:00:00,Friday,16,0,Starship Aggregate,2.25
2026-04-03 17:00:00,Friday,17,0,Starship Aggregate,2.80
2026-04-03 18:00:00,Friday,18,0,Starship Aggregate,3.99
2026-04-03 19:00:00,Friday,19,0,Starship Aggregate,4.10
2026-04-03 20:00:00,Friday,20,0,Starship Aggregate,4.50
2026-04-03 21:00:00,Friday,21,0,Starship Aggregate,2.80
2026-04-03 22:00:00,Friday,22,0,Starship Aggregate,2.90
